[decode                        ][cgeohash    ]	 MS Per/Call 0.0003 (ms)	 Total for 1000000 Calls =   330 (ms)
[decode                        ][go-geohash  ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 1475.000000 (ms)
[decode                        ][gogeohash   ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 1401.000000 (ms)
[decode                        ][ngeohash    ]	 MS Per/Call 0.0006 (ms)	 Total for 1000000 Calls =   591 (ms)
[decode_bbox                   ][cgeohash    ]	 MS Per/Call 0.0003 (ms)	 Total for 1000000 Calls =   334 (ms)
[decode_bbox                   ][go-geohash  ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 1440.000000 (ms)
[decode_bbox                   ][ngeohash    ]	 MS Per/Call 0.0006 (ms)	 Total for 1000000 Calls =   559 (ms)
[encode                        ][cgeohash    ]	 MS Per/Call 0.0002 (ms)	 Total for 1000000 Calls =   238 (ms)
[encode                        ][go-geohash  ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 870.000000 (ms)
[encode                        ][gogeohash   ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 2547.000000 (ms)
[encode                        ][ngeohash    ]	 MS Per/Call 0.0007 (ms)	 Total for 1000000 Calls =   666 (ms)
[encode_all_precisions         ][cgeohash    ]	 MS Per/Call 0.0011 (ms)	 Total for 1000000 Calls =  1149 (ms)
[encode_all_precisions         ][ngeohash    ]	 MS Per/Call 0.0008 (ms)	 Total for 1000000 Calls =   792 (ms)
[neighbor                      ][go-geohash  ]	 NS Per/Call     0.0000 (ms)	 Total for 1000000 Calls = 1347.000000 (ms)
[neighbor NW                   ][cgeohash    ]	 MS Per/Call 0.0005 (ms)	 Total for 1000000 Calls =   527 (ms)
[neighbor NW                   ][ngeohash    ]	 MS Per/Call 0.0007 (ms)	 Total for 1000000 Calls =   720 (ms)
[neighbor SW                   ][cgeohash    ]	 MS Per/Call 0.0005 (ms)	 Total for 1000000 Calls =   538 (ms)
[neighbor SW                   ][ngeohash    ]	 MS Per/Call 0.0007 (ms)	 Total for 1000000 Calls =   721 (ms)
